Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Suscriptores perdidos,Visualizaciones interesadas,Porcentaje medio visto (%),Suscriptores ganados,Me gusta,No me gusta,Comentarios añadidos,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Duración media de las visualizaciones,Impresiones,Porcentaje de clics de las impresiones (%)
Total,,,,9,5128,33.07,126,228,2,13,5128,186.0112,117,0:02:10,83245,2.26
dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,2,1056,37.41,18,35,0,2,1056,42.9041,16,0:02:26,12935,3.31
s2-D8myAvBA,Actúa como un FILÓSOFO | 3 Lecciones ESTOICAS de EPICTETO | Filosofía para la vida,"Mar 14, 2025",396,0,628,34.78,10,28,0,1,628,24.0275,10,0:02:17,7787,2.29
AEF9_bNocLE,Aprende a IGNORAR lo que Piensen los Demás de ti | 3 Lecciones del ESTOICISMO,"Jun 1, 2025",411,0,504,30.02,11,23,0,3,504,17.274,11,0:02:03,8563,2.1
k1mJebxoWXg,Cómo dejar de PREOCUPARTE y causarte ANSIEDAD | 3 Lecciones del ESTOICISMO,"Apr 16, 2025",432,0,429,31.86,10,22,0,1,429,16.4032,10,0:02:17,7536,1.98
_tkzcqqxksU,Cómo Controlar tus Emociones con ESTOICISMO | Marco Aurelio y Séneca,"Jun 30, 2025",432,1,462,27.72,19,27,0,2,462,15.3656,18,0:01:59,8609,1.92
qNhgUN8C9xs,Cómo volverse IMPERTURBABLE | 3 Lecciones del ESTOICISMO,"Mar 31, 2025",392,2,383,33.71,7,10,2,3,383,14.0595,5,0:02:12,8791,2.22
WYyjASKjMcQ,Cómo la DISCIPLINA lleva a la FELICIDAD | ESTOICISMO Séneca,"Feb 15, 2025",338,1,441,28.9,20,21,0,0,441,11.966,19,0:01:37,4998,2.34
giwyhVepDiI,La GUÍA para la FELICIDAD de Aristóteles | Filosofía para la vida,"Jan 30, 2025",498,0,216,38.13,6,5,0,0,216,11.3936,6,0:03:09,3362,2.05
czcDQB9dxzM,"Cómo los Estoicos Controlaban la Ansiedad | Epicteto, Séneca y Marco Aurelio","May 14, 2025",385,2,324,30.56,6,12,0,1,324,10.59,4,0:01:57,4856,2.06
HaJu7t0GVCE,Cómo ser más DISCIPLINADO | 3 Lecciones del ESTOICISMO,"Apr 30, 2025",386,0,252,30.23,10,14,0,0,252,8.1676,10,0:01:56,6090,1.89
pRPG1foCIEo,3 Reglas Estoicas para Aprovechar tu Vida al Máximo | Epicteto,"Jun 17, 2025",388,1,182,40.38,1,9,0,0,182,7.9204,0,0:02:36,5925,1.45
EIzbJAh_HeQ,Las Claves de una Vida Plena | PLATÓN | Filosofía para la Vida,"Jan 15, 2025",270,0,251,29.73,8,22,0,0,251,5.9399,8,0:01:25,3793,2.66
